bookId,title,author,publisher,publicationYear,description,price,quantity,picture,categoryId
GD08,"Giáo Dục Song Ngữ - Các Vấn Đề Song Ngữ, Đa Ngữ Mới Nhất Trong Giảng Dạy Và Nghiên Cứu","Colin Baker, Wayne E. Wrigh","NXB Dân Trí",2024,"Nếu bạn đang tìm kiếm một cuốn sách chưa đựng đầy đủ kiến thức về song ngữ và giáo dục song ngữ thì cuốn sách “GIÁO DỤC SONG NGỮ” của tác giả Colin Baker và Wayne E.Wright chính là cuốn sách bạn đang tìm kiếm.",303200,43,"img72.jpg",C09
GD09,"Khoa Học Và Nghệ Thuật Ca Hát - Một Cách Tiếp Cận Chuyên Sâu Về Thanh Nhạc Cổ Điển (Bìa Cứng)","Colin Baker, Wayne E. Wrigh","NXB Dân Trí",2024,"Khoa học và nghệ thuật ca hát - Một cách tiếp cận chuyên sâu về thanh nhạc cổ điển” là cuốn sách tập trung giới thiệu những kỹ thuật thanh nhạc nền tảng, những nguyên tắc cốt lõi có thể ứng dụng trong hầu hết các phong cách ca hát. Tác phẩm được biên soạn bởi Giảng viên thanh nhạc - Nghệ sĩ Opera Nguyễn Bích Thủy, người có nhiều năm kinh nghiệm biểu diễn và giảng dạy tại Việt Nam cũng như trên các sân khấu quốc tế.
Để giúp độc giả hiểu sâu về bản chất của các kỹ thuật thanh nhạc, tác giả đi từ những phân tích khoa học về cấu trúc thanh quản, cơ chế hô hấp, cách phát âm, đến việc lý giải cách những yếu tố này kết hợp để tạo nên các kỹ thuật mang tính nghệ thuật đặc trưng như: Chiaroscuro, Appoggio, Portamento, Messa di voce, kỹ thuật linh hoạt (agility), kỹ thuật rung, v.v.",303200,43,"img73.jpg",C09
GD10," Tự Vị Tiếng Nói Miền Nam","
Vương Hồng Sển ","NXB Tri Thức",2017,"“Tự vị” là một từ cũ, nghĩa là từ điển. Tuy nhiên, TỰ VỊ TIẾNG NÓI MIỀN NAM là một “từ điển” độc đáo, khác với các cuốn từ điển thường thấy, và mang đậm cá tính riêng.

Nhà văn hóa, học giả Vương Hồng Sển là một trong những cây bút khảo cứu tiêu biểu nhất về văn hóa Nam Bộ. Trong cuốn sách dày dặn và giá trị này, ông đã dày công góp nhặt tư liệu, ghi chép và cắt nghĩa vô số từ, cụm từ, thành ngữ, tục ngữ… trong tiếng địa phương Nam Bộ. Qua đây, bạn đọc sẽ thấy rõ sự giao thoa và ảnh hưởng từ ngôn ngữ nước khác đến ngôn ngữ địa phương: một đặc điểm phản ánh lịch sử và quá trình phát triển của vùng đất Nam Bộ.

TỰ VỊ TIẾNG NÓI MIỀN NAM là một kho tàng về tiếng nói Nam Bộ, một tài liệu quý giá để người đời sau tìm hiểu về một bộ phận quan trọng trong tiếng nước mình. Với số lượng mục từ khổng lồ và những giải thích tỉ mỉ, thú vị, công trình này sẽ đưa bạn đi khám phá thế giới bao la, phong phú của tiếng Nam Bộ, từ đó hiểu thêm về tâm hồn con người và văn hóa vùng đất phương Nam. ",848000,14,"img74.jpg",C09
GD11,"Bí Mật Vũ Trụ ","
Jake Register ","NXB Tri Thức",2017,"Trong suốt hàng nghìn năm, chiêm tinh học được xem như chiếc “bản đồ năng lượng” dẫn lối con người tìm về chính mình giữa vũ trụ bao la. Bí mật Vũ trụ của Jake Register là cuốn sách giúp bạn đọc giải mã những tầng sâu trong bản đồ sao, nơi Mặt Trời, Mặt Trăng và Cung Mọc tiết lộ bản chất, cảm xúc và cách ta kết nối với thế giới.

Khác với những cuốn sách chiêm tinh thông thường, “Bí Mật Vũ Trụ” không chỉ nói về cung hoàng đạo mà còn nói về con người, bản năng, và cách chúng ta giao thoa năng lượng với nhau trong đời sống thực. ",848000,14,"img76.jpg",C09
GD12,"Giải Mã Bàn Tay - Nhìn Tay Thấu Hiểu Nhân Tâm ","
Thiệu Vệ Hoa ","NXB Tri Thức",2017,"Thuật nhìn tướng tay là sự tổng kết kinh nghiệm sống của người xưa trong suốt hàng nghìn năm, phù hợp với tâm lý và nguyện vọng của con người. Một chuyên gia quản lý nguồn nhân lực người Nhật Bản đã từng nói rằng: “Rất nhiều nguyên lý trong quản lý nguồn nhân lực thời hiện đại hầu như đều có thể tìm được căn cứ từ trong lịch sử Trung Quốc”.

Chính vì lý do trên, chúng tôi đã quyết định giới thiệu cuốn sách này nhằm giúp bạn đọc tham khảo, khảo cứu cách “biết người hiểu người”của người xưa. ",848000,14,"img77.jpg",C09
GD13,"Khảo Cổ Học Đồng Bằng Sông Mê Kông - Tập IV :Tả Ngạn Sông Hậu Đến Lưu Vực Sông Đồng Nai ","
Louis Malleret ","NXB Tri Thức",2017,"Nghiên cứu khảo cổ học đồng bằng sông Mê Kông sẽ chưa hoàn chỉnh nếu chúng ta chưa hiểu rõ vùng tả ngạn sông Hậu đến lưu vực sông Đồng Nai (Cisbassac). Mặt khác, đây cũng là địa bàn nơi chúng tôi khởi sự các nghiên cứu, cho đến khi sự cấp thiết buộc chúng tôi phải chuyển hướng sang vùng hữu ngạn sông Hậu đến Cà Mau (Transbassạc) và đô thị Óc Eo, Chúng tôi cũng đã bổ sung vào địa bàn này vùng đồng bằng nhỏ hẹp và lưu vực sông Đồng Nai, sao cho phạm vị thám sát khảo cổ - tiếc là vẫn còn dang dở -bao trùm toàn bộ các tỉnh phía Nam Việt Nam. Một lý do khác thôi thúc chúng tôi hoàn thiện nghiên cứu này chính là vai trò to lớn của các cửa sông Mê Kông trong tiến trình thâm nhập của Phật giáo. Nhiều tượng Phật bằng sa thạch có xuất xứ từ các vùng của sông. Một số khác bằng gỗ khá lâu đời được tìm thấy cũng chủ yếu trong vùng Đồng Tháp Mười và qua đó hé lộ một khía cạnh mới trong nghệ thuật tạc tượng vùng này.

Với khoảng 300 di tích được mô tả, phần lớn là di tích mới, Nam Bộ không còn là ""vùng đất vô danh"" nữa. Nhưng nếu cho rằng tập sách này mang tính toàn diện, tức là nó giải quyết toàn bộ vấn đề, thì có phần võ đoán. Trước hết, chúng tôi không khảo sát khắp các di tích. Tiếp theo, dù hết sức cẩn trọng trong quá trình thăm dò, chúng tôi có thể đã bỏ sót những chỉ dẫn quý báu, vì không phải lúc nào cũng gặp được điều kiện thuận lợi. Do đó, các nhà nghiên cứu sau này vẫn còn cơ hội để khám phá. Suy cho cùng, chúng tôi kỳ vọng vào họ. Vì chúng tôi đã mở đường cho những cuộc thám sát mới mà chúng tôi tin rằng sẽ đơm hoa kết trái ở một vùng đồng bằng mà từ xưa vẫn luôn là mảnh đất màu mỡ cho sự giao thoa của các nền văn minh. ",848000,14,"img78.jpg",C09
GD14,"Kiến Tạo Thành Phố Hồ Chí Minh Thành Siêu Đô Thị Năng Động - Thông Minh - Giàu Bản Sắc ","
TS. Nguyễn Thành Phong ","NXB Tri Thức",2017,"TP. Hồ Chí Minh đang đứng trước một cơ hội có một không hai để tái cấu trúc thành một siêu đô thị tích hợp - sáng tạo - xanh và có bản sắc.

Theo TS Nguyễn Thành Phong, trong không gian mới này, các chức năng kinh tế - xã hội được tái tổ chức theo mô hình liên kết động, đa trung tâm và bổ sung lẫn nhau. Cụ thể: khu vực TP.HCM (cũ) tiếp tục giữ vai trò trung tâm tài chính, văn hóa, giáo dục chất lượng cao và đầu mối điều phối.

Khu vực phía Nam tỉnh Bình Dương phát huy thế mạnh công nghiệp, logistics và đổi mới quy trình sản xuất. Còn Bà Rịa - Vũng Tàu trở thành trung tâm cảng biển quốc tế, du lịch sinh thái và năng lượng tái tạo của toàn vùng.

“Đây không chỉ là thay đổi địa giới, mà là cơ hội lịch sử để chuyển từ một mô hình đô thị phân mảnh, cứng nhắc sang một thực tế thích hợp, năng động, thông tin, cạnh tranh toàn cầu và có khả năng dẫn dắt vùng”, tác giả viết.

Công trình ""Kiến tạo TP.HCM thành siêu đô thị năng động - thông minh - giàu bản sắc"" được tác giả triển khai theo hướng tiếp cận liên ngành kinh tế - xã hội - văn hóa - công nghệ - thể chế. Đặc biệt, tác giả còn có sự đối chiếu, so sánh với các siêu đô thị quốc tế trên thế giới và trong khu vực như Singapore, London, Paris, Seoul, Thượng Hải…, từ đó rút ra những bài học, kinh nghiệm quý giá cho TP.HCM trên hành trình trở thành siêu đô thị quốc tế. ",848000,14,"img79.jpg",C09
GD15,"Vọng Âm Sắc Màu ","
Đỗ Phấn ","NXB Tri Thức",2017,"Những lát cắt về nền hội họa Việt Nam hiện đại

Không chỉ dành cho giới mỹ thuật, cuốn sách này dành cho bất kỳ ai từng dừng lại thật lâu trước một bức tranh, để suy tư và lắng nghe vọng âm sắc màu.Trong tạp ghi này, họa sĩ - nhà văn Đỗ Phấn phác nên một góc nhìn nhiều tầng bậc về hội họa Việt Nam hiện đại dưới con mắt nhà nghề, tư duy thẩm mỹ nhất quá và kinh nghiệm trực tiếp từ người trong cuộc. Mỗi bài tản văn là một lát cắt tinh xảo, dù khi đó tác giả lặng lẽ đối thoại với quá khứ ""Mỹ thuật Đông Dương"" hay thẳng thừng truy vấn thực tại hỗn độn và thị trường mỹ thuật đương đại.

Đỗ Phấn không ngại va chạm với quan niệm dễ dãi về nghệ thuật, cũng không xuề xòa trước sự lặp lại vô thức trong sáng tạo. Ông cũng không chủ ý đưa ra một định nghĩa nghệ thuật theo lối trường quy - mà gợi mở những vùng biên giữa tác phẩm và hàng hóa, giữa thẩm mỹ và giải trí, giữa ký ức và hiện tại, giữa người vẽ và đời vẽ..

Vọng âm của những lớp tranh, lớp người, lớp cảm xúc ấy kiến tạo một không gian suy niệm sinh động, tự do, vừa khúc chiết vừa có độ vỡ vụn thời gian. Một cuốn sách dành cho những ai từng lắng nghe vọng âm từ những bức tranh. ",848000,14,"img74.jpg",C09
GD16,"Văn Hóa Qua Kiến Trúc Nhà Ở ","
Amos Rapoport ","NXB Tri Thức",2017,"Tại sao kiến trúc nhà ở lại phản ánh một nền văn hóa?

Khi nhắc đến kiến trúc, chúng ta thường nghĩ đến các công trình mang tính biểu tượng: nhà thờ, cung điện, bảo tàng… Nhưng phần lớn đời sống con người diễn ra trong những ngôi nhà ở - không lộng lẫy nhưng lại là nơi thể hiện rõ nhất những giá trị, niềm tin và lựa chọn văn hóa của mỗi cộng đồng.

Trong cuốn sách kinh điển này, Amos Rapoport - một trong những người tiên phong nghiên cứu mối quan hệ giữa văn hóa và kiến trúc - đưa ra một hướng tiếp cận mới mẻ: nhìn kiến trúc không chỉ như một ngành kỹ thuật, mà là một dạng biểu hiện văn hóa sâu sắc.

Cuốn sách “Văn Hóa Qua Kiến Trúc Nhà Ở” có gì đặc biệt?
Phân tích cách con người từ khắp nơi trên thế giới tạo dựng nên ngôi nhà của mình, không chỉ dựa vào khí hậu hay vật liệu, mà còn dựa vào truyền thống, tín ngưỡng, cách sống và cấu trúc xã hội.

Trình bày rõ ràng, dễ hiểu, dù là một công trình học thuật liên ngành - giao thoa giữa kiến trúc, địa lý văn hóa, nhân học, lịch sử, quy hoạch đô thị…

Từ lều cỏ của người du mục, nhà sàn ở Đông Nam Á, đến các khu định cư đô thị truyền thống - mỗi kiểu nhà đều là một tấm gương soi chiếu cách một nền văn hóa hình dung về không gian sống lý tưởng. ",848000,14,"img74.jpg",C09
GD17,"Đất Nước Gấm Hoa - Atlas Việt Nam - Ấn Bản Lưu Dấu 63 Tỉnh Thành ","
Võ Thị Mai Chi, Hồ Quốc Cường ","NXB Tri Thức",2017,"Việt Nam chúng ta kết tinh của lịch sử hào hùng, thiên nhiên tươi đẹp cùng sức sáng tạo vô biến của con người và giờ đây chúng ta đang có ĐẤT NƯỚC GẤM HOA

Việt Nam là một đất nước xinh đẹp với nhiều vùng văn hóa khác nhau. Với mong muốn mang đến nhũng kiến thức về địa lí, lịch sử, văn hóa và con người một cách dễ nhớ và gần gũi, “Đất nước gấm hoa” giúp bạn đọc nhiều độ tuổi có cái nhìn thật cụ thể và sống động về 63 tỉnh thành trên dải đất hình chữ S của chúng ta.

LỜI GIỚI THIỆU

Quê nhà mình ở đâu trên bản đồ Việt Nam?

Nơi mình sinh ra và lớn lên có điều gì đặc biệt?

Bạn biết không, đất nước của chúng mình đẹp lắm. Từ những dòng thác tung bọt trắng xóa vùng Tây Bắc đến dòng Cửu Long chở nặng phù sa miền Tây Nam Bộ, từ núi rừng bao la nơi sinh sống của nhiều loài động vật quí hiếm đến vùng hải đảo nơi có những giàn khoan tung bay lá cờ đỏ sao vàng, từ những miền đất cổ kính với bề dày lịch sử đến các thành phố trẻ trung tràn đầy sức sống… tất cả hội tụ trên dải đất hình chữ S tươi đẹp, như một di sản tuyệt vời qua hàng ngàn năm dựng nước và giữ nước mà giờ đây cha ông trao lại cho chúng mình. Hành trình đi dọc theo đất nước từ Bắc vào Nam, lên rừng xuống biển cũng là hành trình khám phá nền văn hóa đặc sắc và đa dạng của cộng đồng 54 dân tộc anh em.

Dù chúng mình đang ở nơi đâu trên dải đất hình chữ S, thì bạn và tôi luôn hiểu rằng con đường mình đang đi, món ăn mình đang thưởng thức, công trình mình đang chiêm ngưỡng đều mang theo dấu ấn của lịch sử, của tinh hoa văn hóa đúc kết từ bao đời. 63 tỉnh thành là 63 vùng đất với vị trí địa lí khác nhau, địa hình, dân tộc, bản sắc văn hóa vì thế cũng chứa đựng những dấu ấn riêng. Tất cả tạo nên những hoa văn đặc sắc, vừa khác biệt, vừa hòa quyện vào nhau, tạo nên vẻ đẹp lung linh của đất nước gấm hoa.

Với mong muốn mang đến một quyển sách chứa đựng kiến thức về địa lí, lịch sử, văn hóa, con người thật gần gũi đến bạn đọc nhiều độ tuổi, đặc biệt mong muốn các bạn học sinh có cái nhìn cụ thể và sống động về mỗi vùng đất, mỗi tỉnh thành trên bản đồ Việt Nam, ê kíp thực hiện đã dành tất cả tâm huyết cho quyển Atlas này. Trong từng dòng thông tin, từng hình vẽ, từng mảng màu đều thấm đượm tình yêu đất nước và niềm tự hào là người con của quê hương xứ sở. ĐẤT NƯỚC GẤM HOA - ATLAS VIỆT NAM, cuộc hành trình khám phá 63 bản đồ tỉnh thành đã ra đời với thật nhiều cảm xúc như thế.

Nhóm tác giả rất mong nhận được sự đóng góp ý kiến từ bạn đọc để nội dung quyển sách được hoàn thiện hơn nữa.

Còn bây giờ, chuyến tàu xuyên suốt dải đất hình chữ S sắp sửa khởi hành. Mời bạn sẵn sàng cho kì du lịch thú vị nhất để khám phá đất nước Việt Nam tươi đẹp. Bắt đầu nào! ",848000,14,"img74.jpg",C09
GD18,"Giải Mã Thần Số Học - Các Kỹ Thuật Ứng Dụng Thần Số Học Vào Khám Phá Bản Thân Và Dự Đoán Vận Mệnh ","
Sasha Fenton ","NXB Tri Thức",2017,"Mỗi con số đều ẩn chứa một tầng ý nghĩa, phản chiếu cá tính, hành trình và số phận riêng biệt của mỗi con người.

Từ hàng thiên niên kỷ trước, con người đã sử dụng thần số học để khám phá vận mệnh - không chỉ để hiểu chính mình mà còn soi chiếu những bước ngoặt và sự kiện quan trọng trong đời.

Trong Giải mã Thần số học - Các kỹ thuật ứng dụng thần số học vào khám phá bản thân và dự đoán vận mệnh, thuộc In Focus Series, chuyên gia huyền học danh tiếng Sasha Fenton sẽ dẫn dắt bạn bước vào thế giới nhiệm màu của những con số - nơi tri thức và trực giác giao hòa.

Từ kiến thức nền tảng và toàn diện về thần số học như lược sử hình thành, các con số chủ đạo, cùng nguyên tắc giải mã cơ bản, cho đến việc phân tích ý nghĩa sâu sắc của các con số trong tên và ngày sinh (con số Vận mệnh, con số Cá nhân, con số Trái tim, con số Đường đời, con số Cuộc đời,…), cuốn sách còn mở rộng sang những phương pháp tiên đoán vận mệnh theo năm, tháng, ngày, thậm chí từng giờ.

Đây là cẩm nang hướng dẫn chi tiết và gần gũi, giúp bạn không chỉ đọc vị những con số, mà còn kết nối với dòng chảy năng lượng vũ trụ, để sống trọn vẹn hơn mỗi ngày.. ",848000,14,"img75.jpg",C09
GD19,"Con Người Và Nghệ Thuật Chăm ","
Jeanne Leuba ","NXB Tri Thức",2007,"Một cánh cửa mở vào nền văn minh Champa rực rỡ và huyền bí.

Dù diện tích nhỏ bé, vương quốc Champa từng vươn ra biển lớn, giao thương rộng khắp với Ấn Độ, Java - tạo dựng nên một xã hội thịnh vượng qua thương mại, thậm chí cả hải tặc. Nhưng cũng đầy thăng trầm bởi chiến tranh và chia rẽ nội bộ.

Cuốn sách là hành trình khám phá di sản văn hoá Chăm: những đền tháp cổ kính, bia ký thiêng liêng, tôn giáo độc đáo và nỗ lực bảo tồn kéo dài suốt hơn một thế kỷ - từ thời Aymonier, Parmentier đến các nghiên cứu đương đại.

Với chiều sâu học thuật cùng hình ảnh minh hoạ sống động, đây là tài liệu không thể thiếu cho người yêu văn hoá, lịch sử Đông Dương và di sản Champa. ",848000,14,"img74.jpg",C09
GD20,"Hát Ru Việt Nam Tuyển Chọn ","
Minh Anh ","NXB Tri Thức",2007,"Những lời hát ru đầy ý nghĩa trong giáo dục đạo đức, nhân cách, với những hình ảnh bình dị và hết sức gần gũi với tuổi thơ, thể hiện tình cảm nồng nàn, sự yêu thương, nâng niu của bà, của mẹ, của chị, bồi đắp tình yêu quê hương, gia đình và đời sống tâm hồn trẻ thơ. ",848000,14,"img74.jpg",C09
GD21,"Kiêng Và Cấm Kỵ Của Người Việt Xưa Và Nay ","
Phạm Minh Thảo ","NXB Tri Thức",2007,"Quan niệm Kiêng và Cấm kỵ của người Việt chắc hẳn hình thành từ thời xa xưa, khi người Việt trải qua bao cuộc vật lộn sinh tồn, đã đúc rút được nhiều kinh nghiệm và cả những may rủi mà họ không sao giải thích được. Ẩn hiện qua tín ngưỡng, tâm lý, hiện hình thành những quy định trong phong tục, tập quán và tồn tại với một sức sống dai dẳng đến kỳ lạ, Kiêng và Cấm kỵ thể hiện một biểu trưng của văn hóa tộc người, là một tất yếu mang đậm dấu ấn của một dân tộc sống bằng nghề nông, phải trải qua nhiều cuộc chinh chiến chống ngoại xâm và chịu ảnh hưởng không nhỏ của nước láng giềng Trung Quốc.

Quan niệm Kiêng và Cấm kỵ của người Việt hiện hữu, nhiều khi là vô thức và có thể bắt gặp ở nhiều nơi, phổ biến trong các lễ nghi ở đền, đình, miếu, phủ, trong những ngày Tết thường niên, những ngày lễ hội và nghi lễ vòng đời người.

Quan niệm này trải qua bao thời gian vẫn được cộng đồng tuân thủ một cách tự giác với niềm kính tín và hy vọng vào sự may mắn, tránh mọi sự rủi ro. Cuộc sống sôi động hiện nay với khoa học và kỹ thuật phát triển, có chăng chỉ đào thải một số kiêng kỵ trong cách hành xử ở tầng lớp trẻ nhưng đa phần, sự kiêng và cấm kỵ này cơ bản vẫn tồn tại, được chấp nhận với quan niệm ""Có kiêng có lành"".

Chính quan niệm này khiến nhiều người có trình độ văn hóa cao, hiểu biết song vẫn vui lòng và tự nguyện tuân thủ mọi quy định về kiêng kỵ đã được truyền thống bảo lưu. Đứng ở góc độ này, nhiều điều kiêng và cấm kỵ là có thể hiểu và chấp nhận được. Thực tế các địa danh trong sách đã có những thay đổi so với hiện nay, tuy nhiều điều kiêng và cấm kỵ đã trở nên không thích hợp nhưng sự tồn tại hữu hình và nhiều khi là vô thức của nó vẫn đáng để suy ngẫm về một trong những đặc điểm văn hóa của tộc người Việt trên con đường phát triển. ",848000,14,"img74.jpg",C09
GD22,"Các Mô Thức Văn Hóa ","
Ruth Benedict ","NXB Tri Thức",2007,"Giới thiệu sách Các Mô Thức Văn Hóa
Trong giới nhân học Mỹ, ngay từ đầu, đã xuất hiện học giả nữ nổi tiếng là Margaret Mead (1901 - 1978), tác giả của Tuổi trưởng thành ở Samoa (Coming of Age in Samoa, 1928) và Ruth Benedict (1887 - 1948), tác giả của Các mô thức văn hóa (Petterns of Culture, 1934). Họ đều là học trò của Franz Boas, ông tổ của nền nhân học Mỹ và là những nhà văn hóa Mỹ tiêu biểu nhất của thế kỷ XX.

Ruth Benedict nhận học vị tiến sĩ và trở thành giáo sư nhân học tại Đại học Columbia, đồng thời nắm giữ vị trí chủ tịch Hội nhân học Mỹ. Các công trình nghiên cứu của bà góp phần xây dựng nền móng cho ngành nhân học văn hóa, đặc biệt là trường phái Văn hóa và Nhân cách. Và, mặc dù các tác phẩm của bà về mô thức văn hóa chỉ dừng ở cấp độ cá nhân, hoặc rộng hơn, tộc người, nhưng Benedict đã đưa nhân học văn hóa tới các lĩnh vực chuyên sâu hơn của nhân học như tâm lý học, phân tâm học, thần kinh học.

Bạn đọc Việt Nam mới đây đã biết đến bà qua tác phẩm Hoa cúc và gươm (The Chrysanthemum and the Sword, Nxb Hồng Đức, 2014), nghiên cứu tính cách người Nhật dựa trên mô hình lý thuyết được bà xây dựng trong tác phẩm Các mô thức văn hóa. ",848000,14,"img74.jpg",C09
GD23,"Bí Quyết Hội Họa - Phác Họa Tĩnh Vật ","
Từ Hảo ","NXB Tri Thức",2007,"Cơ bản - Thực tế - Toàn diện - Dễ Hiểu - Dễ đọc
Bạn đam mê hội họa và muốn bắt đầu học vẽ?
Bạn gặp khó khăn trong việc tìm ra sách học phù hợp?
Bạn bối rối không biết nên bắt đầu từ đâu?
Bộ sách Bí Quyết Hội Họa sẽ là người bạn đồng hành tuyệt vời, giúp bạn có khởi đầu thuận lợi trên con đường học vẽ của mình. Bộ sách được thiết kế với từng cấp độ từ cơ bản đến nâng cao, mang đến cho bạn những kiến thức nền tảng cũng như định hướng để tiếp tục đào sâu đam mê.

PHÁC HỌA TĨNH VẬT trong bộ sách này vừa giúp người học luyện tập về các vật thể có thật, vừa là bước đệm để nâng cao khả năng quan sát bố cục, rèn luyện kỹ thuật vẽ và đào sâu các kiến thức hội họa, nhằm chuẩn bị cho việc vẽ người sau này. ",848000,14,"img74.jpg",C09
GD24,"Bản Ngã Người Việt ","
Nguyễn Văn Hầu ","NXB Tri Thức",2007,"Qua việc tìm hiểu bản ngã của người Việt, Nguyễn Văn Hầu đã chỉ ra được những ưu điểm của dân tộc Việt; và đó chính là những cột trụ vững chãi để nước Việt có thể tồn tại và đánh bại mọi cuộc xâm lược của những kẻ tham lam, tàn bạo, âm mưu biến dân Việt thành nô lệ, xóa bỏ nước Việt trên bản đồ; đứng vững trước bão giông của thời cuộc, chọn lấy con đường đúng đắn để phát triển đi lên.

Có ưu ắt sẽ có khuyết. Biết khuyết điểm cũng giúp chúng ta hạn chế những sai lầm. Biết cũng sẽ giúp ta vững tin tiến bước và không ngừng trau dồi và hoàn thiện qua thời gian.

Tác phẩm ra mắt độc giả lần đầu vào năm 1961 và vẫn còn nguyên giá trị cho đến ngày nay. Tác phẩm sẽ truyền cho độc giả những cảm hứng tích cực, khuyến khích mọi người tu dưỡng và đóng góp cho xã hội, dân tộc và Tổ quốc. ",848000,14,"img74.jpg",C09
GD25,"Người Việt Nam Với Đạo Giáo ","
Nguyễn Duy Hinh ","NXB Tri Thức",2007,"""Người Việt Nam với Đạo giáo"" của tác giả Nguyễn Duy Hinh là một công trình nghiên cứu đặc biệt về dấu ấn Đạo giáo trong văn hóa Việt Nam. Ban đầu với mong muốn viết về ""Đạo giáo Việt Nam"", nhưng trong quá trình tìm hiểu, tác giả nhận thấy rằng nên gọi tên tác phẩm là ""Người Việt Nam với Đạo giáo"", nhằm truyền tải chính xác hơn mối quan hệ đặc biệt giữa Đạo giáo và văn hóa Việt.

Cuốn sách gồm hai chương chính:

Chương I bàn về nguồn gốc và bản chất của Đạo giáo tại Trung Quốc;
Chương II khám phá hành trình truyền bá và sự phát triển của Đạo giáo tại Việt Nam, từ khi du nhập đến thời Lý, Trần, Lê và Nguyễn.
Tác phẩm cũng phân tích cách Đạo giáo hoà quyện với Phật giáo, Khổng giáo để tạo thành một hình thái ""tam giáo đồng nguyên"" đặc trưng của Việt Nam, dẫn đến sự mai một của Đạo giáo như một tôn giáo độc lập. Mặc dù không có tổ chức Đạo giáo chính thức tại Việt Nam ngày nay, tác giả chỉ ra rằng dấu ấn của Đạo giáo vẫn hiện diện trong văn hóa dân gian và tín ngưỡng của người Việt.

Với lối viết tinh tế và am hiểu sâu sắc, Nguyễn Duy Hinh đã khơi mở một mảng kiến thức phong phú về Đạo giáo - một khía cạnh ít được nghiên cứu sâu ở Việt Nam. Tác phẩm không chỉ là viên gạch đầu tiên giúp độc giả hiểu về Đạo giáo mà còn là một lời nhắn gửi để các thế hệ sau tiếp tục khám phá, làm phong phú thêm nghiên cứu về tôn giáo và bản sắc dân tộc. ",848000,14,"img74.jpg",C09
GD26,"Trống Đồng Đông Sơn Ở Việt Nam ","
Phạm Huy Thông ","NXB Tri Thức",2007,"Cuốn sách Trống đồng Đông Sơn ở Việt Nam (Dong Son Drums in Viet Nam) là tập hợp đầy đủ nhất những phát hiện về trống đồng Đông Sơn ở Việt Nam cho đến trước năm 1987 với những nguồn tư liệu được chọn lọc, xác minh đáng tin cậy, sắp xếp có hệ thống, đặc biệt là các hình ảnh, bản vẽ minh hoạ đẹp, chính xác; các mô tả về hình dáng, hoa văn, kích thước chân thực, rõ ràng. ",848000,14,"img74.jpg",C09
GD27,"Vị Đắng Trong Ẩm Thực Ý ","
Massimo Montanari ","NXB Tri Thức",2007,"Cơ quan vị giác có hai bộ phận chính là lưỡi và não. Lưỡi nếm hương vị, não đánh giá chúng. Cơ chế này không chỉ mang tính sinh học mà trên hết còn thể hiện một nét văn hóa đặc sắc: tạo nên từ thói quen, sự học hỏi và những phán đoán. Vì vậy, nếu chúng ta tự hỏi tại sao cơ quan vị giác nhạy cảm của người Ý lại bị thu hút bởi vị đắng đến vậy, thì câu trả lời sẽ không được giải thích bằng di truyền mà phải bằng lịch sử. Vị đắng là một đặc điểm, không độc quyền nhưng cực kỳ độc đáo trong văn hóa Ý. Bắt đầu ngày mới bằng vị đắng của cà phê và kết thúc một ngày bằng vị đắng của rượu tiêu vị, “đắng” chính là hương vị được chào đón nhất trong nền văn hóa ẩm thực của đất nước này.

Bằng cách đào sâu vào các nguồn văn học và chuyên luận về thực vật học, nông nghiệp, ẩm thực, nhà sử học ẩm thực vĩ đại Massimo Montanari đã cho chúng ta một lời giải đáp thú vị về niềm đam mê “cay đắng” của người Ý trong “Amaro un gusto italiano”. Không chỉ đơn thuần bàn luận đến một hương vị hay một số loại thực phẩm nhất định, cuốn sách này nói về mối quan hệ sâu sắc giữa những loại thực phẩm mang vị đắng với nền văn hóa Ý. ",848000,14,"img74.jpg",C09
